Country,Lat,Long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,33.93911,67.709953,0.295,0.3,0.309,0.305,0.3,0.324,0.328,0.332,0.335,0.338,0.34,0.341,0.373,0.381,0.396,0.405,0.415,0.433,0.434,0.448,0.454,0.463,0.47,0.476,0.479,0.479
Albania,41.153332,20.168331,0.635,0.618,0.603,0.608,0.616,0.628,0.637,0.636,0.646,0.656,0.662,0.67,0.674,0.681,0.685,0.696,0.703,0.713,0.721,0.725,0.738,0.752,0.759,0.761,0.762,0.764
Algeria,28.033886,1.659626,0.577,0.581,0.587,0.591,0.595,0.6,0.609,0.617,0.627,0.636,0.644,0.653,0.663,0.673,0.68,0.686,0.69,0.697,0.705,0.714,0.724,0.732,0.737,0.741,0.743,0.745
Andorra,42.546245,1.601554,,,,,,,,,,,,,,,,,,,,,0.819,0.819,0.843,0.85,0.857,0.858
Angola,-11.202692,17.873887,,,,,,,,,,0.382,0.391,0.401,0.406,0.415,0.426,0.439,0.454,0.468,0.48,0.488,0.495,0.508,0.523,0.527,0.531,0.533
Antigua and Barbuda,17.060816,-61.796428,,,,,,,,,,,,,,,,0.773,0.781,0.786,0.788,0.783,0.782,0.778,0.781,0.782,0.784,0.786
Argentina,-38.416097,-63.616672,0.705,0.713,0.72,0.725,0.728,0.731,0.738,0.746,0.753,0.764,0.771,0.776,0.77,0.775,0.78,0.782,0.788,0.792,0.794,0.802,0.816,0.822,0.823,0.825,0.826,0.827
Armenia,40.069099,45.038189,0.634,0.628,0.595,0.593,0.597,0.603,0.609,0.618,0.632,0.639,0.644,0.645,0.657,0.668,0.679,0.692,0.707,0.721,0.725,0.72,0.729,0.732,0.736,0.739,0.741,0.743
Australia,-25.274398,133.775136,0.866,0.867,0.871,0.874,0.876,0.885,0.888,0.891,0.894,0.897,0.899,0.902,0.905,0.908,0.91,0.915,0.918,0.921,0.925,0.927,0.927,0.93,0.933,0.936,0.937,0.939
Austria,47.516231,14.550072,0.794,0.798,0.804,0.806,0.812,0.816,0.819,0.823,0.833,0.833,0.837,0.847,0.837,0.841,0.848,0.854,0.86,0.864,0.87,0.872,0.88,0.884,0.887,0.892,0.892,0.893
Azerbaijan,40.143105,47.576927,,,,,,0.609,0.61,0.615,0.626,0.636,0.642,0.651,0.659,0.668,0.675,0.682,0.708,0.719,0.728,0.737,0.741,0.742,0.745,0.752,0.758,0.759
Bahamas,25.03428,-77.39628,,,,,,,,,,,0.779,0.781,0.783,0.784,0.786,0.788,0.79,0.791,0.791,0.788,0.788,0.789,0.79,0.789,0.79,0.792
Bahrain,25.930414,50.637772,0.745,0.751,0.757,0.765,0.768,0.775,0.778,0.779,0.783,0.786,0.794,0.796,0.798,0.803,0.806,0.81,0.813,0.815,0.814,0.81,0.812,0.812,0.815,0.82,0.823,0.824
Bangladesh,23.684994,90.356331,0.386,0.393,0.4,0.408,0.415,0.423,0.432,0.441,0.45,0.459,0.468,0.476,0.484,0.491,0.499,0.506,0.513,0.52,0.523,0.535,0.545,0.557,0.565,0.57,0.575,0.579
